dataset_type,dataset_shuffle,k_folds_splits,k_folds_stratified,knn_k_neighbours,knn_voting_type,knn_metric,f_score
iris,False,5,False,2,uniform,manhattan,0.8792270531400966
iris,False,5,False,2,uniform,chebyshev,0.8729092729092729
iris,False,5,False,2,distance,euclidean,0.9133246657999132
iris,False,5,False,2,distance,manhattan,0.8999899989999
iris,False,5,False,2,distance,chebyshev,0.9004028379028379
iris,False,5,False,2,custom,euclidean,0.880145541435864
iris,False,5,False,2,custom,manhattan,0.8795664391810517
iris,False,5,False,2,custom,chebyshev,0.8473694077022788
iris,False,5,False,3,uniform,euclidean,0.9066293183940243
iris,False,5,False,3,uniform,manhattan,0.9199679871948779
iris,False,5,False,3,uniform,chebyshev,0.8871091871091871
iris,False,5,False,3,distance,euclidean,0.9066293183940243
iris,False,5,False,3,distance,manhattan,0.9199679871948779
iris,False,5,False,3,distance,chebyshev,0.8871091871091871
iris,False,5,False,3,custom,euclidean,0.8999099189270344
iris,False,5,False,3,custom,manhattan,0.9199679871948779
iris,False,5,False,3,custom,chebyshev,0.8803801002410734
iris,False,5,False,4,uniform,euclidean,0.8929479459387126
iris,False,5,False,4,uniform,manhattan,0.899749373433584
iris,False,5,False,4,uniform,chebyshev,0.839062103107047
iris,False,5,False,4,distance,euclidean,0.9066293183940243
iris,False,5,False,4,distance,manhattan,0.9199679871948779
iris,False,5,False,4,distance,chebyshev,0.8871091871091871
iris,False,5,False,4,custom,euclidean,0.8869359064228819
iris,False,5,False,4,custom,manhattan,0.8999099189270344
iris,False,5,False,4,custom,chebyshev,0.8262700262700262
iris,False,5,False,5,uniform,euclidean,0.8999099189270344
iris,False,5,False,5,uniform,manhattan,0.9199679871948779
iris,False,5,False,5,uniform,chebyshev,0.8401216465732596
iris,False,5,False,5,distance,euclidean,0.8999099189270344
iris,False,5,False,5,distance,manhattan,0.9199679871948779
iris,False,5,False,5,distance,chebyshev,0.8803801002410734
iris,False,5,False,5,custom,euclidean,0.8999099189270344
iris,False,5,False,5,custom,manhattan,0.9199679871948779
iris,False,5,False,5,custom,chebyshev,0.833223875505487
iris,False,5,False,6,uniform,euclidean,0.8929479459387126
iris,False,5,False,6,uniform,manhattan,0.899749373433584
iris,False,5,False,6,uniform,chebyshev,0.8185021304490331
iris,False,5,False,6,distance,euclidean,0.9066293183940243
iris,False,5,False,6,distance,manhattan,0.9132552630700964
iris,False,5,False,6,distance,chebyshev,0.8672383363105013
iris,False,5,False,6,custom,euclidean,0.8931623931623932
iris,False,5,False,6,custom,manhattan,0.8932906495931706
iris,False,5,False,6,custom,chebyshev,0.812883412883413
iris,False,5,False,7,uniform,euclidean,0.8865645747839723
iris,False,5,False,7,uniform,manhattan,0.8999099189270344
iris,False,5,False,7,uniform,chebyshev,0.8537663961695738
iris,False,5,False,7,distance,euclidean,0.8999099189270344
iris,False,5,False,7,distance,manhattan,0.9132552630700964
iris,False,5,False,7,distance,chebyshev,0.8605218855218856
iris,False,5,False,7,custom,euclidean,0.8865645747839723
iris,False,5,False,7,custom,manhattan,0.8999099189270344
iris,False,5,False,7,custom,chebyshev,0.8404595441338242
iris,False,5,False,8,uniform,euclidean,0.8795664391810517
iris,False,5,False,8,uniform,manhattan,0.8929479459387126
iris,False,5,False,8,uniform,chebyshev,0.8465864602681515
iris,False,5,False,8,distance,euclidean,0.8865645747839723
iris,False,5,False,8,distance,manhattan,0.9132552630700964
iris,False,5,False,8,distance,chebyshev,0.8672383363105013
iris,False,5,False,8,custom,euclidean,0.8732192306409102
iris,False,5,False,8,custom,manhattan,0.8798076923076924
iris,False,5,False,8,custom,chebyshev,0.8469677218931544
iris,False,5,False,9,uniform,euclidean,0.8732192306409102
iris,False,5,False,9,uniform,manhattan,0.8931623931623932
iris,False,5,False,9,uniform,chebyshev,0.8401216465732596
iris,False,5,False,9,distance,euclidean,0.8798076923076924
iris,False,5,False,9,distance,manhattan,0.9132552630700964
iris,False,5,False,9,distance,chebyshev,0.8605218855218856
iris,False,5,False,9,custom,euclidean,0.8598738864978482
iris,False,5,False,9,custom,manhattan,0.8798076923076924
iris,False,5,False,9,custom,chebyshev,0.8064987059801579
iris,False,5,False,10,uniform,euclidean,0.8596491228070177
iris,False,5,False,10,uniform,manhattan,0.8929479459387126
iris,False,5,False,10,uniform,chebyshev,0.833223875505487
iris,False,5,False,10,distance,euclidean,0.8865645747839723
iris,False,5,False,10,distance,manhattan,0.906517094017094
iris,False,5,False,10,distance,chebyshev,0.8672383363105013
iris,False,5,False,10,custom,euclidean,0.839935974389756
iris,False,5,False,10,custom,manhattan,0.8798076923076924
iris,False,5,False,10,custom,chebyshev,0.8138458400623247
iris,False,5,False,11,uniform,euclidean,0.8532746431906095
iris,False,5,False,11,uniform,manhattan,0.8798076923076924
iris,False,5,False,11,uniform,chebyshev,0.8340941947044583
iris,False,5,False,11,distance,euclidean,0.8732192306409102
iris,False,5,False,11,distance,manhattan,0.899749373433584
iris,False,5,False,11,distance,chebyshev,0.8672383363105013
iris,False,5,False,11,custom,euclidean,0.8532746431906095
iris,False,5,False,11,custom,manhattan,0.8732192306409102
iris,False,5,False,11,custom,chebyshev,0.800097751710655
iris,False,5,False,12,uniform,euclidean,0.8530982905982905
iris,False,5,False,12,uniform,manhattan,0.8863826232247285
iris,False,5,False,12,uniform,chebyshev,0.7924287924287924
iris,False,5,False,12,distance,euclidean,0.8798076923076924
iris,False,5,False,12,distance,manhattan,0.899749373433584
iris,False,5,False,12,distance,chebyshev,0.8605218855218856
iris,False,5,False,12,custom,euclidean,0.846528542354786
iris,False,5,False,12,custom,manhattan,0.8863826232247285
iris,False,5,False,12,custom,chebyshev,0.7541726791726792
iris,False,5,False,13,uniform,euclidean,0.846528542354786
iris,False,5,False,13,uniform,manhattan,0.8798076923076924
iris,False,5,False,13,uniform,chebyshev,0.7936768091868509
iris,False,5,False,13,distance,euclidean,0.8798076923076924
iris,False,5,False,13,distance,manhattan,0.899749373433584
iris,False,5,False,13,distance,chebyshev,0.8472282347282348
iris,False,5,False,13,custom,euclidean,0.846528542354786
iris,False,5,False,13,custom,manhattan,0.8664529914529915
iris,False,5,False,13,custom,chebyshev,0.7797735364548289
